Log file open, 03/09/15 21:21:45
LogInit:Display: Running engine for game: Besieged
LogInit: Version: 4.7.2-2467323+++depot+UE4-Releases+4.7
LogInit: API Version: 2455222
LogInit: Compiled (64-bit): Mar  2 2015 23:16:34
LogInit: Compiled with Visual C++: 18.00.21005.01
LogInit: Build Configuration: Development
LogInit: Branch Name: ++depot+UE4-Releases+4.7
LogInit: Command line: 
LogInit: Base directory: E:/Unreal engine/Epic Games/4.7/Engine/Binaries/Win64/
LogInit: Rocket: 1
[2015.03.10-02.21.45:342][  0]LogTaskGraph: Started task graph with 3 named threads and 6 total threads.
[2015.03.10-02.21.45:399][  0]LogOnline:Warning: No default platform service specified for OnlineSubsystem
[2015.03.10-02.21.45:429][  0]LogInit: Presizing for 0 objects not considered by GC, pre-allocating 0 bytes.
[2015.03.10-02.21.45:437][  0]LogInit: Object subsystem initialized
[2015.03.10-02.21.45:443][  0]LogInit: Selected Device Profile: [Windows]
[2015.03.10-02.21.45:443][  0]LogInit: Applying CVar settings loaded from the selected device profile: [Windows]
[2015.03.10-02.21.45:447][  0]LogInit: Computer: JOE-PC
[2015.03.10-02.21.45:447][  0]LogInit: User: Joe
[2015.03.10-02.21.45:447][  0]LogInit: CPU Page size=4096, Cores=4
[2015.03.10-02.21.45:447][  0]LogInit: High frequency timer resolution =3.312851 MHz
[2015.03.10-02.21.45:447][  0]LogMemory: Memory total: Physical=16.0GB (16GB approx) Virtual=8192.0GB
[2015.03.10-02.21.45:447][  0]LogMemory: Platform Memory Stats for Windows
[2015.03.10-02.21.45:447][  0]LogMemory: Process Physical Memory: 47.75 MB used, 47.75 MB peak
[2015.03.10-02.21.45:447][  0]LogMemory: Process Virtual Memory: 26.44 MB used, 26.44 MB peak
[2015.03.10-02.21.45:447][  0]LogMemory: Physical Memory: 4351.54 MB used, 16362.24 MB total
[2015.03.10-02.21.45:447][  0]LogMemory: Virtual Memory: 281.30 MB used, 8388608.00 MB total
[2015.03.10-02.21.45:502][  0]LogD3D11RHI: Found D3D11 adapter 0: NVIDIA GeForce GTX 680 (Feature Level 11_0)
[2015.03.10-02.21.45:502][  0]LogD3D11RHI: Adapter has 1990MB of dedicated video memory, 0MB of dedicated system memory, and 2048MB of shared system memory, 2 output[s]
[2015.03.10-02.21.45:502][  0]LogD3D11RHI: Chosen D3D11 Adapter Id = 0
[2015.03.10-02.21.45:506][  0]LogRHI: Texture pool is 1361 MB (70% of 1945 MB)
[2015.03.10-02.21.45:514][  0]LogD3D11RHI: Async texture creation enabled
[2015.03.10-02.21.45:650][  0]LogTextLocalizationManager: The requested culture ('en_US') has no localization data; parent culture's ('en') localization data will be used.
[2015.03.10-02.21.45:761][  0]LogContentStreaming: Texture pool size is 0.000000MB
[2015.03.10-02.21.48:303][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.03.10-02.21.48:934][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.03.10-02.21.49:014][  0]LogDerivedDataCache:Display: Max Cache Size: 512 MB
[2015.03.10-02.21.49:073][  0]LogDerivedDataCache: Loaded boot cache 0.06s 39MB C:/Users/Joe/AppData/Local/UnrealEngine/4.7/DerivedDataCache/Boot.ddc.
[2015.03.10-02.21.49:073][  0]LogDerivedDataCache:Display: Loaded Boot cache: C:/Users/Joe/AppData/Local/UnrealEngine/4.7/DerivedDataCache/Boot.ddc
[2015.03.10-02.21.49:073][  0]LogDerivedDataCache: FDerivedDataBackendGraph:  Pak pak cache file ../../../../../Projects/Besieged/DerivedDataCache/DDC.ddp not found, will not use a pak cache.
[2015.03.10-02.21.49:073][  0]LogDerivedDataCache: Unable to find inner node Pak for hierarchical cache Hierarchy.
[2015.03.10-02.21.49:178][  0]LogDerivedDataCache:Display: Pak cache opened for reading ../../../Engine/DerivedDataCache/Compressed.ddp.
[2015.03.10-02.21.49:189][  0]LogDerivedDataCache: Using Local data cache path C:/Users/Joe/AppData/Local/UnrealEngine/Common/DerivedDataCache: Writable
